Id,Title,Price,Square,District,City,Date
129967,"Cho thuê phòng trọ dạng chung cư mini máy lạnh q8 gần đại lộ Đông Tây,q5,q6",1.8 Triệu/tháng,18 m²,Quận 8,Hồ Chí Minh,1.8 Triệu/tháng
151366,"PHÒNG SẠCH THOÁNG, SÂN RỘNG MÁT, LỐI ĐI RIÊNG 1.5 TR , DÀNH CHO SINH VIÊN, NGƯỜI ĐỘC THÂN",1.5 Triệu/tháng,12 m²,Tân Bình,Hồ Chí Minh,1.5 Triệu/tháng
169460,"Phòng đẹp cửa sổ, Máy Lạnh thoáng mát 21/1 Trường Sơn, P.4, Q.Tân Bình  (Gần Sân Bay)",2.8 Triệu/tháng,20 m²,Tân Bình,Hồ Chí Minh,2.8 Triệu/tháng
160836,CHO THUÊ PHÒNG TRỌ GIÁ RẺ Năm 2024,2 Triệu/tháng,20 m²,Quận 8,Hồ Chí Minh,2 Triệu/tháng
169939,"Cho thuê phòng trọ Phường 25, Quận Bình Thạnh",2.6 Triệu/tháng,25 m²,Bình Thạnh,Hồ Chí Minh,2.6 Triệu/tháng
169737,"Cho thuê phòng trọ Studio cao cấp, đường Nguyễn trãi , Quận 5. Giá rẻ.. Full Nội thất",8 Triệu/tháng,35 m²,Quận 5,Hồ Chí Minh,8 Triệu/tháng
169850,"Cho thuê phòng trọ đường Nguyễn Trãi, Quận 5. Giá rẻ. Full nội thất cao cấp",9 Triệu/tháng,40 m²,Quận 5,Hồ Chí Minh,9 Triệu/tháng
156724,Cho thuê phòng 350/1 nguyễn văn lượng f16 gò vấp,2.6 Triệu/tháng,20 m²,Gò Vấp,Hồ Chí Minh,2.6 Triệu/tháng
169236,"PHÒNG CĂN HỘ MINI 1Phòng Ngủ, PK, 7A/9 THÀNH THÁI, P.14, Q.10 - DT: 30m2 – (VIEW Đẹp Mặt Tiền nhà)",4.5 Triệu/tháng,30 m²,Quận 10,Hồ Chí Minh,4.5 Triệu/tháng
169938,"CHO THUÊ PHÒNG ĐẦY ĐỦ NỘI THẤT TẠI TÂN BÌNH, GẦN CV GIA ĐỊNH, SÂN BAY",5.8 Triệu/tháng,35 m²,Tân Bình,Hồ Chí Minh,5.8 Triệu/tháng
169937,"Phòng trọ dành cho nữ, phòng mới, sạch đẹp thoáng mát tại đường Dương Quảng Hàm",4 Triệu/tháng,28 m²,Gò Vấp,Hồ Chí Minh,4 Triệu/tháng
161098,"Phòng trọ bùng binh Ngô Gia Tự - Lý Thái Tổ, Q10, cho thuê giờ tự do",2.5 Triệu/tháng,15 m²,Quận 10,Hồ Chí Minh,2.5 Triệu/tháng
169298,"Phòng 18m2 Hồ Văn Huê, Phú Nhuận có nội thất giờ tự do 3.2tr",3.2 Triệu/tháng,18 m²,Phú Nhuận,Hồ Chí Minh,3.2 Triệu/tháng
169373,"Phòng Đẹp 68A Phan Đăng Lưu, P.5, Q.Phú Nhuận (có Thang Máy, Khoá vân tay, Máy giặt )",3 Triệu/tháng,20 m²,Phú Nhuận,Hồ Chí Minh,3 Triệu/tháng
169237,"Phòng siêu đẹp có ban công 205/41/34 Phạm Văn Chiêu, P. 14, Q. Gò Vấp (Khoá vân tay, Máy giặt)",2.9 Triệu/tháng,20 m²,Gò Vấp,Hồ Chí Minh,2.9 Triệu/tháng
169537,"Phòng đẹp như căn hộ studio đủ nội thất có gác lửng thông hẻm 69 đường D2, P. 25, Q. Bình Thạnh",4.2 Triệu/tháng,25 m²,Bình Thạnh,Hồ Chí Minh,4.2 Triệu/tháng
169702,"Phòng ban công, thoáng mát, có nội thất. Đối diện Emart Phan Văn Trị",3.2 Triệu/tháng,20 m²,Gò Vấp,Hồ Chí Minh,3.2 Triệu/tháng
169934,"Phòng MỚI KHAI TRƯƠNG - Ngay Sư Phạm Kỹ Thuật, Giao Thông Vận Tải, FPT, HUTECH",1.7 Triệu/tháng,20 m²,Quận 9,Hồ Chí Minh,1.7 Triệu/tháng
169933,Mình trống phòng đầu tháng 10 ở Đỗ Xuân Hợp - Ngã tư Bình Thái,3.4 Triệu/tháng,19 m²,Quận 9,Hồ Chí Minh,3.4 Triệu/tháng
169932,"Phòng trọ giá rẻ ngay chợ Hiệp Bình, gần siêu thị Gigamall Thủ Đức",2.5 Triệu/tháng,27 m²,Thủ Đức,Hồ Chí Minh,2.5 Triệu/tháng
169888,"Phòng trọ quận 5 cho thuê, giờ tự do, được nấu ăn, không chung chủ",1.2 Triệu/tháng,22 m²,Quận 5,Hồ Chí Minh,1.2 Triệu/tháng
169887,"Cho thuê phòng giờ giấc tự do, an ninh hẻm xe oto",4.5 Triệu/tháng,36 m²,Quận 10,Hồ Chí Minh,4.5 Triệu/tháng
169886,"Phòng trọ đầy đủ tiện nghi tại địa chỉ 879/37 Hương Lộ 2, Q. Bình Tân",1.9 Triệu/tháng,18 m²,Bình Tân,Hồ Chí Minh,1.9 Triệu/tháng
169885,Cho thuê phòng trọ TT quận Bình Thạnh,3 Triệu/tháng,24 m²,Bình Thạnh,Hồ Chí Minh,3 Triệu/tháng
169884,"Cho Thuê Phòng Có Gác Cao , Có Thang Máy (chính chủ)",3.6 Triệu/tháng,30 m²,Bình Thạnh,Hồ Chí Minh,3.6 Triệu/tháng
159427,Cho thuê phòng trọ 506/15/11 D đường 3/2  - Phường 14 - Q.10 ( Cầu vượt 3/2),3.5 Triệu/tháng,20 m²,Quận 10,Hồ Chí Minh,3.5 Triệu/tháng
160862,Cho thuê phòng 102 hồ văn Huê - P.9- Quân Phú Nhuận,2.3 Triệu/tháng,18 m²,Phú Nhuận,Hồ Chí Minh,2.3 Triệu/tháng
166636,"Cho thuê nhiều phòng trọ 1051/4 Hậu Giang, Quận 6",1.8 Triệu/tháng,20 m²,Quận 6,Hồ Chí Minh,1.8 Triệu/tháng
169861,"Cho thuê phòng: 541/1 Hương Lộ 2, Phường Bình Trị Đông - Quận Bình Tân. HCM
Ngay ngã tư 4 xã ( 200m) - Hoà Bình - Phan Anh - Bình Long - Lũy Bán Bích",2 Triệu/tháng,20 m²,Bình Tân,Hồ Chí Minh,2 Triệu/tháng
160677,Cho thuê phòng trọ đẹp 51 Bà Lài - Phường 8 - Quận 6 ( Cầu Phạm Văn Trí),2.3 Triệu/tháng,20 m²,Quận 6,Hồ Chí Minh,2.3 Triệu/tháng
159556,Cho thuê phòng trọ Đ/c: 134 Lê Minh Xuân - P.7- Q. Tân Bình - đường Lý Thường Kiệt,2 Triệu/tháng,18 m²,Tân Bình,Hồ Chí Minh,2 Triệu/tháng
159423,Cho thuê phòng trọ 90 Trần Quý - Phường 6 - Q.11 - Gần chợ Thiếc - Q11,2.7 Triệu/tháng,18 m²,Quận 11,Hồ Chí Minh,2.7 Triệu/tháng
169880,"CHO THUÊ PHÒNG TRỌ ĐẸP, rộng 40 m2, MẶT TIỀN TRƯƠNG VĂN BANG, CÓ HẦM XE, BAN CÔNG, THANG MÁY. LIÊN HỆ: Phượng: 0908.63.03.93",3.6 Triệu/tháng,35 m²,Quận 2,Hồ Chí Minh,3.6 Triệu/tháng
169866,Phòng Ban Công Đầy Đủ Tiện Nghi cho Nữ,4.5 Triệu/tháng,25 m²,Phú Nhuận,Hồ Chí Minh,4.5 Triệu/tháng
151720,"Phòng mới giá rẻ, thoáng mát, an ninh, khu Phan Xích Long. Trung tâm Phú Nhuận",2.8 Triệu/tháng,20 m²,Phú Nhuận,Hồ Chí Minh,2.8 Triệu/tháng
160941,"Phòng mới, full nội thất, an ninh. Gần sân bay, CV Gia Định",3.5 Triệu/tháng,20 m²,Tân Bình,Hồ Chí Minh,3.5 Triệu/tháng
129830,"NAM  ở  phòng có máy lạnh. miễn phí ( Wifi , Điện Nước sinh hoạt )",3 Triệu/tháng,16 m²,Bình Thạnh,Hồ Chí Minh,3 Triệu/tháng
169877,"QUẬN 3 Phòng trọ có Máy Lạnh, giờ giấc tự do",2.4 Triệu/tháng,15 m²,Quận 3,Hồ Chí Minh,2.4 Triệu/tháng
169876,"Cho thuê Phòng trọ 40m2 mặt tiền đường Gò Dầu, Tân Phú, có thang Máy",2.3 Triệu/tháng,40 m²,Tân Phú,Hồ Chí Minh,2.3 Triệu/tháng
169875,"Cho thuê phòng trọ cao cấp mặt tiền đường Thống Nhất, TP.Thủ Đức",2.2 Triệu/tháng,25 m²,Thủ Đức,Hồ Chí Minh,2.2 Triệu/tháng
169819,2 Phòng trọ 20m2 1T1G Hẻm 95 Lê Văn Lương Q7,2.6 Triệu/tháng,20 m²,Quận 7,Hồ Chí Minh,2.6 Triệu/tháng
167354,"Phòng trọ trong nhà trọ 2 lầu mới xây, an ninh, có lối đi riêng, ban công, wifi, TH cáp",2 Triệu/tháng,20 m²,Tân Phú,Hồ Chí Minh,2 Triệu/tháng
169818,"CHO THUÊ PHÒNG TRỌ, ĐẦY ĐỦ NỘI THẤT",3.5 Triệu/tháng,32 m²,Quận 9,Hồ Chí Minh,3.5 Triệu/tháng
169817,Chính chủ cho thuê phòng trọ số 26 đường số 30 - P6 - GV,2 Triệu/tháng,20 m²,Gò Vấp,Hồ Chí Minh,2 Triệu/tháng
169782,CHO THUÊ CĂN HỘ DỊCH VỤ VÀ PHÒNG TIỆN NGHI QUẬN PHÚ NHUẬN,4 Triệu/tháng,25 m²,Phú Nhuận,Hồ Chí Minh,4 Triệu/tháng
169464,Phóng đẹp có 2 balcon thoáng mát vá đầy đủ tiện nghi,4 Triệu/tháng,20 m²,Phú Nhuận,Hồ Chí Minh,4 Triệu/tháng
148723,"Phòng trọ  khu dân cư dự án Q2, yên tĩnh, An ninh, sạch sẽ và văn minh, hiện đại",3.2 Triệu/tháng,22 m²,Quận 2,Hồ Chí Minh,3.2 Triệu/tháng
51456,"CHO THUÊ PHÒNG ĐẸP,TIỆN NGHI ĐẦY ĐỦ NỘI Thất",4.5 Triệu/tháng,20 m²,Bình Thạnh,Hồ Chí Minh,4.5 Triệu/tháng
132438,"Cho thuê phòng mới,toilét riêng ,đường Nguyên phúc Chu",1 Triệu/tháng,18 m²,Tân Bình,Hồ Chí Minh,1 Triệu/tháng
169815,"Phòng trọ an toàn, thuận tiện Phường 14, Quận Gò Vấp, Hồ Chí Minh",1.8 Triệu/tháng,22 m²,Gò Vấp,Hồ Chí Minh,1.8 Triệu/tháng
169814,Cho thuê phòng tro giá rẻ an phú đông q12,2.8 Triệu/tháng,25 m²,Quận 12,Hồ Chí Minh,2.8 Triệu/tháng
169308,"PHÒNG CHO THUÊ NHƯ CĂN HỘ MINI 1PN, PK 7A/9 THÀNH THÁI,P.14, Q.10, DT: 30m2. (Khoá Vân Tay)",4.4 Triệu/tháng,30 m²,Quận 10,Hồ Chí Minh,4.4 Triệu/tháng
169811,"Cho thuê căn hộ mini 35m2 Phạm Văn Đồng,p. Linh Đông - Thủ Đức có nội thất, máy lạnh, ban công riêng. Giờ giấc tự do",4.5 Triệu/tháng,35 m²,Thủ Đức,Hồ Chí Minh,4.5 Triệu/tháng
168917,"Phòng cho thuê đẹp 140 Phạm Văn Chiêu, P14, Q Gò Vấp Giá chỉ 2,2 tr  (CÓ MÁY GIẶT)",2.2 Triệu/tháng,15 m²,Gò Vấp,Hồ Chí Minh,2.2 Triệu/tháng
169810,Cho thuê phòng đường Dương Quảng Hàm P6 gò vấp,1.5 Triệu/tháng,18 m²,Gò Vấp,Hồ Chí Minh,1.5 Triệu/tháng
164738,"Cho thuê phòng trung tâm Q.5 giá 1,100,000đ/ tháng",1 Triệu/tháng,7 m²,Quận 5,Hồ Chí Minh,1 Triệu/tháng
169808,"🔥 🔥🔥Urban Home - Phòng trọ Full NT cao cấp -  ngã tư Hàng Xanh, Quận Bình Thạnh",6.5 Triệu/tháng,36 m²,Bình Thạnh,Hồ Chí Minh,6.5 Triệu/tháng
169805,"Phòng trọ sinh viên 2 người ở giá rẽ, free wf",300000 Triệu/tháng,15 m²,Quận 9,Hồ Chí Minh,300000 Triệu/tháng
133484,"PHÒNG LỚN 30m2 có gác nấu ăn trong phòng, giờ tự do, an ninh giá cực rẻ - Cho thuê nhà trọ quận 8",3.2 Triệu/tháng,30 m²,Quận 8,Hồ Chí Minh,3.2 Triệu/tháng
169804,Cho thuê căn hộ mini Phạm Văn Đồng Linh Đông Thủ Đức có nội thất,4.5 Triệu/tháng,35 m²,Thủ Đức,Hồ Chí Minh,4.5 Triệu/tháng
169829,"Phòng trọ sạch sẽ thoáng mát, hẻm riêng biệt tại phường 5, Dương Quảng Ham",4 Triệu/tháng,23 m²,Gò Vấp,Hồ Chí Minh,4 Triệu/tháng
169709,Cho Nữ thuê phòng gần trung tâm quận 1,3.5 Triệu/tháng,20 m²,Bình Thạnh,Hồ Chí Minh,3.5 Triệu/tháng
101827,Cho thuê phòng giá rẻ ở gần công viên Gia Định,2.4 Triệu/tháng,18 m²,Tân Bình,Hồ Chí Minh,2.4 Triệu/tháng
169780,"Siêu phẩm phòng CHDV Duplex mới 100% đủ nội thất 179 Lê Đình Thám, P.Tân Quý, Q.Tân Phú (Có Thang Máy)",3.8 Triệu/tháng,25 m²,Tân Phú,Hồ Chí Minh,3.8 Triệu/tháng
169828,Cho thuê phòng đầy đủ tiện nghi giá rẻ Q11,2.5 Triệu/tháng,17 m²,Quận 11,Hồ Chí Minh,2.5 Triệu/tháng
168627,"315 ĐƯỜNG TRẦN THỦ ĐỘ (SÁT NGUYỄN SƠN), GẦN TRƯỜNG CAO ĐẲNG GTVT, GẦN CHỢ PHƯỜNG 18 NGUYỄN SƠN,Q.TÂN PHÚ",2.5 Triệu/tháng,20 m²,Tân Phú,Hồ Chí Minh,2.5 Triệu/tháng
153924,"Phòng trọ KTX sleepbox số 1 Trần Quốc Thảo, p6, Quận 3. Full nội thất. Free điện nước, free gởi xe",1.8 Triệu/tháng,20 m²,Quận 3,Hồ Chí Minh,1.8 Triệu/tháng
153927,CHO THUÊ PHÒNG CAO CẤP MỚI XÂY SÁT CHỢ LÝ PHỤC MAN Q7,2.6 Triệu/tháng,20 m²,Quận 7,Hồ Chí Minh,2.6 Triệu/tháng
